@relation 'gesture-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0'

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute meanCrossingX numeric
@attribute meanCrossingY numeric
@attribute meanCrossingZ numeric
@attribute absMeanX numeric
@attribute absMeanY numeric
@attribute absMeanZ numeric
@attribute absDifferenceX numeric
@attribute absDifferenceY numeric
@attribute absDifferenceZ numeric
@attribute stdDeviationX numeric
@attribute stdDeviationY numeric
@attribute stdDeviationZ numeric
@attribute skewnessX numeric
@attribute skewnessY numeric
@attribute skewnessZ numeric
@attribute kurtosisX numeric
@attribute kurtosisY numeric
@attribute kurtosisZ numeric
@attribute rootMeanSquareX numeric
@attribute rootMeanSquareY numeric
@attribute rootMeanSquareZ numeric
@attribute percentile25X numeric
@attribute percentile25Y numeric
@attribute percentile25Z numeric
@attribute percentile50X numeric
@attribute percentile50Y numeric
@attribute percentile50Z numeric
@attribute percentile75X numeric
@attribute percentile75Y numeric
@attribute percentile75Z numeric
@attribute class {gesture-pacing,gesture-rocking,gesture-hairpulling,gesture-scratching,gesture-hitting,gesture-punching,gesture-still}

@data
-3.455556,2.265366,-2.261951,2.805406,12.815863,4.939538,-17.297209,-12.855966,-20.36059,12,14,12,3.905188,7.048692,4.857866,5.225757,11.604703,0,20.202412,62.102448,49.320744,-1.509853,-0.570674,-1.519507,3.064654,-0.737925,1.51267,5.669504,8.199655,7.378155,-6.789806,-4.760421,-5.034707,-1.925986,3.184588,0.783802,-0.740359,7.730728,2.44433,gesture-hairpulling
-4.511269,1.946192,-0.531592,5.818474,11.02081,6.093313,-12.774413,-12.496237,-11.022755,9,10,9,5.17636,6.134913,3.43973,4.309649,8.813218,0,16.700676,47.435925,20.370296,0.4083,-0.727839,-0.94244,0.97526,-0.332766,0.302819,6.087053,7.157065,4.544544,-7.352893,-2.825008,-3.306991,-5.313631,3.981557,0.032771,-2.528576,6.253655,2.316241,gesture-hairpulling
-4.45082,0.431175,0.33651,1.278953,8.229171,3.971981,-14.078505,-11.437251,-11.04131,8,12,9,4.578716,3.966689,2.612812,3.595464,5.914157,0,11.185293,25.146221,13.380613,-0.872173,-0.789021,-2.142717,2.105319,0.271649,4.567595,5.567324,5.033104,3.673398,-6.311266,-3.281553,-0.353893,-4.988319,1.027561,1.77964,-2.11842,3.62527,2.162263,gesture-hairpulling
-3.162494,2.128925,1.871228,2.937087,12.685977,6.11943,-12.650063,-11.180473,-5.0995,13,14,10,4.172099,6.344829,3.541596,6.226389,10.638588,0,19.46181,49.79062,11.742736,-0.536736,-0.206629,-0.801064,-0.586806,-1.129074,-0.369244,5.427999,7.37041,3.904386,-6.458508,-3.617938,-1.309479,-2.712331,1.901295,2.598607,0.445322,8.199243,4.954351,gesture-hairpulling
-4.994432,1.169997,-0.462406,2.235885,12.030714,6.831555,-26.527006,-13.102568,-20.764164,11,14,15,5.300247,6.583311,4.216148,7.552644,11.635371,0,41.358353,63.069206,37.046448,-2.022356,-0.54905,-1.894994,5.151412,-0.718305,5.119401,8.142648,8.027335,6.104119,-9.09647,-4.18686,-2.342876,-3.154361,0.827945,-0.068235,-1.025018,7.40362,3.193715,gesture-hairpulling
-3.236002,3.208848,-1.058997,2.534711,12.576741,4.63177,-21.666628,-11.992706,-20.193146,10,12,12,4.169107,5.856715,3.257357,6.07267,9.069143,0,31.706848,42.53075,27.717083,-1.88171,-0.565411,-2.551155,4.466909,0.080838,8.18852,6.494502,7.268249,5.370155,-6.224625,-0.238822,-2.98061,-1.658284,2.178466,0.310199,0.599598,8.129662,1.724723,gesture-hairpulling
-3.323376,3.063298,-0.878168,2.528876,12.919561,2.441787,-18.198776,-13.054086,-16.870892,12,14,13,3.858166,5.795697,2.430873,5.402112,9.057275,0,21.227606,41.49046,16.976727,-1.730218,-0.566149,-3.059008,4.171772,0.509624,11.407418,5.680883,7.132619,4.212826,-5.803395,-1.865831,-1.799392,-2.300978,2.273594,-0.40477,0.121506,6.844574,1.799243,gesture-hairpulling
-4.215079,2.109272,-1.815994,2.158822,13.687352,2.709189,-25.57965,-12.980165,-21.323809,12,15,14,4.716385,7.069206,2.849332,7.510601,11.992722,0,37.547226,65.055305,24.820583,-2.229887,-0.468334,-3.151128,6.479915,-0.685044,11.926848,7.437347,8.336926,5.30268,-7.163003,-4.729895,-3.367301,-2.830695,2.338537,-0.768389,0.241216,7.240216,0.583587,gesture-hairpulling
-2.385779,2.012228,-0.632678,4.878336,14.387057,2.346168,-9.353249,-12.311583,-5.942558,10,11,13,3.605429,6.861619,1.597357,5.00193,11.007147,0,17.005339,61.754345,4.097469,-0.133466,-0.302692,-0.865365,-0.878267,-0.900357,0.752313,4.764166,8.111931,2.12079,-6.176591,-6.176591,-2.202967,-1.236772,1.482909,-0.386514,0.071078,8.415469,0.783502,gesture-hairpulling
-2.573371,1.829292,-0.445012,2.641104,14.005033,7.309844,-14.139557,-11.530775,-3.846734,14,11,15,3.422293,6.506275,2.385892,5.965744,10.60382,0,19.106916,55.99956,8.385486,-1.183185,-0.198144,0.852362,0.88579,-1.017895,0.704049,5.072392,7.703628,2.929765,-5.674408,-5.140351,-3.337368,-1.101333,1.014244,-0.324115,0.367959,8.536526,1.137096,gesture-hairpulling
